song_name,album,year,item_type,source_release
New Life,Speak & Spell,1981,album_track,Speak & Spell
I Sometimes Wish I Was Dead,Speak & Spell,1981,album_track,Speak & Spell
Puppets,Speak & Spell,1981,album_track,Speak & Spell
Boys Say Go!,Speak & Spell,1981,album_track,Speak & Spell
Nodisco,Speak & Spell,1981,album_track,Speak & Spell
What's Your Name,Speak & Spell,1981,album_track,Speak & Spell
Photographic,Speak & Spell,1981,album_track,Speak & Spell
Tora! Tora! Tora!,Speak & Spell,1981,album_track,Speak & Spell
Big Muff,Speak & Spell,1981,album_track,Speak & Spell
Any Second Now (Voices),Speak & Spell,1981,album_track,Speak & Spell
Just Can't Get Enough,Speak & Spell,1981,album_track,Speak & Spell
Leave In Silence,A Broken Frame,1982,album_track,A Broken Frame
My Secret Garden,A Broken Frame,1982,album_track,A Broken Frame
Monument,A Broken Frame,1982,album_track,A Broken Frame
Nothing To Fear,A Broken Frame,1982,album_track,A Broken Frame
See You,A Broken Frame,1982,album_track,A Broken Frame
Satellite,A Broken Frame,1982,album_track,A Broken Frame
The Meaning Of Love,A Broken Frame,1982,album_track,A Broken Frame
A Photograph Of You,A Broken Frame,1982,album_track,A Broken Frame
Shouldn't Have Done That,A Broken Frame,1982,album_track,A Broken Frame
The Sun & The Rainfall,A Broken Frame,1982,album_track,A Broken Frame
"Love, In Itself",Construction Time Again,1983,album_track,Construction Time Again
More Than A Party,Construction Time Again,1983,album_track,Construction Time Again
Pipeline,Construction Time Again,1983,album_track,Construction Time Again
Everything Counts,Construction Time Again,1983,album_track,Construction Time Again
Two Minute Warning,Construction Time Again,1983,album_track,Construction Time Again
Shame,Construction Time Again,1983,album_track,Construction Time Again
The Landscape Is Changing,Construction Time Again,1983,album_track,Construction Time Again
Told You So,Construction Time Again,1983,album_track,Construction Time Again
And Then...,Construction Time Again,1983,album_track,Construction Time Again
Everything Counts (Reprise),Construction Time Again,1983,album_track,Construction Time Again
Something To Do,Some Great Reward,1984,album_track,Some Great Reward
Lie To Me,Some Great Reward,1984,album_track,Some Great Reward
People Are People,Some Great Reward,1984,album_track,Some Great Reward
It Doesn't Matter,Some Great Reward,1984,album_track,Some Great Reward
Stories Of Old,Some Great Reward,1984,album_track,Some Great Reward
Somebody,Some Great Reward,1984,album_track,Some Great Reward
Master And Servant,Some Great Reward,1984,album_track,Some Great Reward
If You Want,Some Great Reward,1984,album_track,Some Great Reward
Blasphemous Rumours,Some Great Reward,1984,album_track,Some Great Reward
Black Celebration,Black Celebration,1986,album_track,Black Celebration
Fly On The Windscreen,Black Celebration,1986,album_track,Black Celebration
A Question Of Lust,Black Celebration,1986,album_track,Black Celebration
Sometimes,Black Celebration,1986,album_track,Black Celebration
It Doesn't Matter Two,Black Celebration,1986,album_track,Black Celebration
A Question Of Time,Black Celebration,1986,album_track,Black Celebration
Stripped,Black Celebration,1986,album_track,Black Celebration
Here Is The House,Black Celebration,1986,album_track,Black Celebration
World Full Of Nothing,Black Celebration,1986,album_track,Black Celebration
Dressed In Black,Black Celebration,1986,album_track,Black Celebration
New Dress,Black Celebration,1986,album_track,Black Celebration
Never Let Me Down Again,Music For The Masses,1987,album_track,Music For The Masses
The Things You Said,Music For The Masses,1987,album_track,Music For The Masses
Strangelove,Music For The Masses,1987,album_track,Music For The Masses
Sacred,Music For The Masses,1987,album_track,Music For The Masses
Little 15,Music For The Masses,1987,album_track,Music For The Masses
Behind The Wheel,Music For The Masses,1987,album_track,Music For The Masses
I Want You Now,Music For The Masses,1987,album_track,Music For The Masses
To Have And To Hold,Music For The Masses,1987,album_track,Music For The Masses
Nothing,Music For The Masses,1987,album_track,Music For The Masses
Pimpf,Music For The Masses,1987,album_track,Music For The Masses
Interlude #1 - Mission Impossible,Music For The Masses,1987,album_track,Music For The Masses
World In My Eyes,Violator,1990,album_track,Violator
Sweetest Perfection,Violator,1990,album_track,Violator
Personal Jesus,Violator,1990,album_track,Violator
Halo,Violator,1990,album_track,Violator
Waiting For The Night,Violator,1990,album_track,Violator
Enjoy The Silence,Violator,1990,album_track,Violator
Interlude #2 - Crucified,Violator,1990,album_track,Violator
Policy Of Truth,Violator,1990,album_track,Violator
Blue Dress,Violator,1990,album_track,Violator
Interlude #3,Violator,1990,album_track,Violator
Clean,Violator,1990,album_track,Violator
I Feel You,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Walking In My Shoes,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Condemnation,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Mercy In You,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Judas,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
In Your Room,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Get Right With Me,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Interlude #4,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Rush,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
One Caress,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Higher Love,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Barrel Of A Gun,Ultra,1997,album_track,Ultra
The Love Thieves,Ultra,1997,album_track,Ultra
Home,Ultra,1997,album_track,Ultra
It's No Good,Ultra,1997,album_track,Ultra
Uselink,Ultra,1997,album_track,Ultra
Useless,Ultra,1997,album_track,Ultra
Sister Of Night,Ultra,1997,album_track,Ultra
Jazz Thieves,Ultra,1997,album_track,Ultra
Freestate,Ultra,1997,album_track,Ultra
The Bottom Line,Ultra,1997,album_track,Ultra
Insight,Ultra,1997,album_track,Ultra
Junior Painkiller,Ultra,1997,album_track,Ultra
Dream On,Exciter,2001,album_track,Exciter
Shine,Exciter,2001,album_track,Exciter
The Sweetest Condition,Exciter,2001,album_track,Exciter
When The Body Speaks,Exciter,2001,album_track,Exciter
The Dead Of Night,Exciter,2001,album_track,Exciter
Lovetheme,Exciter,2001,album_track,Exciter
Freelove,Exciter,2001,album_track,Exciter
Comatose,Exciter,2001,album_track,Exciter
I Feel Loved,Exciter,2001,album_track,Exciter
Breathe,Exciter,2001,album_track,Exciter
Easy Tiger,Exciter,2001,album_track,Exciter
I Am You,Exciter,2001,album_track,Exciter
Goodnight Lovers,Exciter,2001,album_track,Exciter
A Pain That I'm Used To,Playing The Angel,2005,album_track,Playing The Angel
John The Revelator,Playing The Angel,2005,album_track,Playing The Angel
Suffer Well,Playing The Angel,2005,album_track,Playing The Angel
The Sinner In Me,Playing The Angel,2005,album_track,Playing The Angel
Precious,Playing The Angel,2005,album_track,Playing The Angel
Macro,Playing The Angel,2005,album_track,Playing The Angel
I Want It All,Playing The Angel,2005,album_track,Playing The Angel
Nothing's Impossible,Playing The Angel,2005,album_track,Playing The Angel
Introspectre,Playing The Angel,2005,album_track,Playing The Angel
Damaged People,Playing The Angel,2005,album_track,Playing The Angel
Lilian,Playing The Angel,2005,album_track,Playing The Angel
The Darkest Star,Playing The Angel,2005,album_track,Playing The Angel
In Chains,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Hole To Feed,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Wrong,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Fragile Tension,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Little Soul,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
In Sympathy,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Peace,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Come Back,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Spacewalker,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Perfect,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Miles Away / The Truth Is,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Jezebel,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Corrupt,Sounds Of The Universe,2009,album_track,Sounds Of The Universe
Welcome To My World,Delta Machine,2013,album_track,Delta Machine
Angel,Delta Machine,2013,album_track,Delta Machine
Heaven,Delta Machine,2013,album_track,Delta Machine
Secret To The End,Delta Machine,2013,album_track,Delta Machine
My Little Universe,Delta Machine,2013,album_track,Delta Machine
Slow,Delta Machine,2013,album_track,Delta Machine
Broken,Delta Machine,2013,album_track,Delta Machine
The Child Inside,Delta Machine,2013,album_track,Delta Machine
Soft Touch / Raw Nerve,Delta Machine,2013,album_track,Delta Machine
Should Be Higher,Delta Machine,2013,album_track,Delta Machine
Alone,Delta Machine,2013,album_track,Delta Machine
Soothe My Soul,Delta Machine,2013,album_track,Delta Machine
Goodbye,Delta Machine,2013,album_track,Delta Machine
Going Backwards,Spirit,2017,album_track,Spirit
Where's The Revolution,Spirit,2017,album_track,Spirit
The Worst Crime,Spirit,2017,album_track,Spirit
Scum,Spirit,2017,album_track,Spirit
You Move,Spirit,2017,album_track,Spirit
Cover Me,Spirit,2017,album_track,Spirit
Eternal,Spirit,2017,album_track,Spirit
Poison Heart,Spirit,2017,album_track,Spirit
So Much Love,Spirit,2017,album_track,Spirit
Poorman,Spirit,2017,album_track,Spirit
No More (This Is The Last Time),Spirit,2017,album_track,Spirit
Fail,Spirit,2017,album_track,Spirit
My Cosmos Is Mine,Memento Mori,2023,album_track,Memento Mori
Wagging Tongue,Memento Mori,2023,album_track,Memento Mori
Ghosts Again,Memento Mori,2023,album_track,Memento Mori
Don't Say You Love Me,Memento Mori,2023,album_track,Memento Mori
My Favourite Stranger,Memento Mori,2023,album_track,Memento Mori
Soul With Me,Memento Mori,2023,album_track,Memento Mori
Caroline's Monkey,Memento Mori,2023,album_track,Memento Mori
Before We Drown,Memento Mori,2023,album_track,Memento Mori
People Are Good,Memento Mori,2023,album_track,Memento Mori
Always You,Memento Mori,2023,album_track,Memento Mori
Never Let Me Go,Memento Mori,2023,album_track,Memento Mori
Speak To Me,Memento Mori,2023,album_track,Memento Mori
Dreaming Of Me,Non-album,1981,single,Dreaming Of Me
New Life,Speak & Spell,1981,single,New Life
Just Can't Get Enough,Speak & Spell,1981,single,Just Can't Get Enough
See You,A Broken Frame,1982,single,See You
The Meaning Of Love,A Broken Frame,1982,single,The Meaning Of Love
Leave In Silence,A Broken Frame,1982,single,Leave In Silence
Get The Balance Right!,Non-album,1983,single,Get The Balance Right
Everything Counts,Construction Time Again,1983,single,Everything Counts (1983)
"Love, In Itself",Construction Time Again,1983,single,"Love, In Itself"
People Are People,Some Great Reward,1984,single,People Are People
Master And Servant,Some Great Reward,1984,single,Master And Servant
Blasphemous Rumours,Some Great Reward,1984,single,Blasphemous Rumours / Somebody
Somebody,Some Great Reward,1984,single,Blasphemous Rumours / Somebody
Shake The Disease,Non-album,1985,single,Shake The Disease
It's Called A Heart,Non-album,1985,single,It's Called A Heart
Stripped,Black Celebration,1986,single,Stripped / But Not Tonight
But Not Tonight,Black Celebration,1986,single,Stripped / But Not Tonight
A Question Of Lust,Black Celebration,1986,single,A Question Of Lust
A Question Of Time,Black Celebration,1986,single,A Question Of Time
Strangelove,Music For The Masses,1987,single,Strangelove
Never Let Me Down Again,Music For The Masses,1987,single,Never Let Me Down Again
Behind The Wheel,Music For The Masses,1987,single,Behind The Wheel
Little 15,Music For The Masses,1988,single,Little 15
Strangelove '88,Music For The Masses,1988,single,Strangelove '88
Everything Counts (Live),101,1989,single,Everything Counts (from 101)
Personal Jesus,Violator,1989,single,Personal Jesus
Enjoy The Silence,Violator,1990,single,Enjoy The Silence
Policy Of Truth,Violator,1990,single,Policy Of Truth
World In My Eyes,Violator,1990,single,World In My Eyes
I Feel You,Songs Of Faith And Devotion,1993,single,I Feel You / One Caress
One Caress,Songs Of Faith And Devotion,1993,single,I Feel You / One Caress
Walking In My Shoes,Songs Of Faith And Devotion,1993,single,Walking In My Shoes
Condemnation,Songs Of Faith And Devotion,1993,single,Condemnation
In Your Room,Songs Of Faith And Devotion,1994,single,In Your Room
Barrel Of A Gun,Ultra,1997,single,Barrel Of A Gun
It's No Good,Ultra,1997,single,It's No Good
Home,Ultra,1997,single,Home
Useless,Ultra,1997,single,Useless
Only When I Lose Myself,Non-album,1998,single,Only When I Lose Myself
Dream On,Exciter,2001,single,Dream On
I Feel Loved,Exciter,2001,single,I Feel Loved
Freelove,Exciter,2001,single,Freelove
Goodnight Lovers,Exciter,2002,single,Goodnight Lovers
Enjoy The Silence 04,Remixes 81-04,2004,single,Enjoy The Silence 04
Precious,Playing The Angel,2005,single,Precious
A Pain That I'm Used To,Playing The Angel,2005,single,A Pain That I'm Used To
Suffer Well,Playing The Angel,2006,single,Suffer Well
John The Revelator,Playing The Angel,2006,single,John The Revelator / Lilian
Lilian,Playing The Angel,2006,single,John The Revelator / Lilian
Martyr,The Best Of Depeche Mode, Volume 1,2006,single,Martyr
Wrong,Sounds Of The Universe,2009,single,Wrong
Peace,Sounds Of The Universe,2009,single,Peace
Perfect,Sounds Of The Universe,2009,single,Perfect
Hole To Feed,Sounds Of The Universe,2009,single,Hole To Feed / Fragile Tension
Fragile Tension,Sounds Of The Universe,2009,single,Hole To Feed / Fragile Tension
Personal Jesus 2011,Remixes 2: 81-11,2011,single,Personal Jesus 2011
Behind The Wheel 2011,Remixes 2: 81-11,2011,single,Behind The Wheel 2011
Heaven,Delta Machine,2013,single,Heaven
Soothe My Soul,Delta Machine,2013,single,Soothe My Soul
Should Be Higher,Delta Machine,2013,single,Should Be Higher
Where's The Revolution,Spirit,2017,single,Where's The Revolution
Going Backwards,Spirit,2017,single,Going Backwards
Cover Me,Spirit,2017,single,Cover Me
Ghosts Again,Memento Mori,2023,single,Ghosts Again
My Cosmos Is Mine,Memento Mori,2023,single,My Cosmos Is Mine
Wagging Tongue,Memento Mori,2023,single,Wagging Tongue
Speak To Me,Memento Mori,2023,single,Speak To Me
My Favourite Stranger,Memento Mori,2023,single,My Favourite Stranger
People Are Good,Memento Mori,2024,single,People Are Good
Ice Machine,Non-album,1981,b_side,Dreaming Of Me
Shout,Non-album,1981,b_side,New Life
Any Second Now,Speak & Spell,1981,b_side,Just Can't Get Enough
Now This Is Fun,A Broken Frame,1982,b_side,See You
Oberkorn (It's A Small Town),A Broken Frame,1982,b_side,The Meaning Of Love
Excerpt From: My Secret Garden,A Broken Frame,1982,b_side,Leave In Silence
Further Excerpts From: My Secret Garden,A Broken Frame,1982,b_side,Leave In Silence
The Great Outdoors!,Non-album,1983,b_side,Get The Balance Right
Work Hard,Construction Time Again,1983,b_side,Everything Counts (1983)
Fools,Construction Time Again,1983,b_side,"Love, In Itself"
In Your Memory,Some Great Reward,1984,b_side,People Are People
(Set Me Free) Remotivate Me,Some Great Reward,1984,b_side,Master And Servant
Flexible,Non-album,1985,b_side,Shake The Disease
Fly On The Windscreen,Black Celebration,1985,b_side,It's Called A Heart
Breathing In Fumes,Black Celebration,1986,b_side,Stripped / But Not Tonight
Black Day,Black Celebration,1986,b_side,Stripped / But Not Tonight
Christmas Island,Black Celebration,1986,b_side,A Question Of Lust
Pimpf,Music For The Masses,1987,b_side,Strangelove
Agent Orange,Music For The Masses,1987,b_side,Strangelove
Pleasure, Little Treasure,Music For The Masses,1987,b_side,Never Let Me Down Again
Route 66,Music For The Masses,1987,b_side,Behind The Wheel
Stjarna,Music For The Masses,1988,b_side,Little 15
Dangerous,Violator,1989,b_side,Personal Jesus
Kaleid,Violator,1990,b_side,Policy Of Truth
Happiest Girl,Violator,1990,b_side,World In My Eyes
Sea Of Sin,Violator,1990,b_side,World In My Eyes
My Joy,Songs Of Faith And Devotion,1993,extra_track,MODE
Death's Door,Songs Of Faith And Devotion,1993,b_side,Condemnation
Sibeling,Songs Of Faith And Devotion,1993,extra_track,MODE
Painkiller,Ultra,1997,b_side,Barrel Of A Gun
Slowblow,Ultra,1997,b_side,It's No Good
Surrender,Non-album,1998,b_side,Only When I Lose Myself
Headstar,Non-album,1998,b_side,Only When I Lose Myself
Easy Tiger,Exciter,2001,extra_track,MODE
Dirt,Exciter,2001,b_side,I Feel Loved
Zenstation,Exciter,2001,b_side,Freelove
Free,Exciter,2001,b_side,Dream On
Newborn,Playing The Angel,2005,extra_track,MODE
Better Days,Playing The Angel,2005,extra_track,MODE
Oh Well,Sounds Of The Universe,2009,extra_track,MODE
Light,Sounds Of The Universe,2009,extra_track,MODE
The Sun And The Moon And The Stars,Sounds Of The Universe,2009,extra_track,MODE
Ghost,Sounds Of The Universe,2009,extra_track,MODE
Esque,Sounds Of The Universe,2009,extra_track,MODE
Long Time Lie,Delta Machine,2013,extra_track,MODE
Happens All The Time,Delta Machine,2013,extra_track,MODE
Always,Delta Machine,2013,extra_track,MODE
All That's Mine,Delta Machine,2013,extra_track,MODE
